PIECETAG,decay_class,species,bag_tare,fresh_mass,dry_mass,new_bag_tare,moisture_content_g,moisture_percentage_g,measure_day,resp_start,resp_t0,resp_t1,resp_t2,resp_t3,resp_t4,samp_distance_m,fruiting_bods,ground_cont,termite,notes
60856A,3,COFL2,4.65,27.98,8.22,,19.76,0.85,8/10/2022,12:19:05,32.7,32.3,32.3,32.4,32.4,1.2,,,,
60856A,4,COFL2,4.67,19.41,6.41,,13,0.88,8/10/2022,12:23:25,32.5,32.7,32.8,32.9,33.1,1.2,,,,
60282A,5,CATO6,4.67,23.67,6.96,,16.71,0.88,8/10/2022,12:27:48,33.1,33.4,33.5,33.4,33.6,"2 (2 to 5), 2.1 (2 to 3)",y,,,
60282A,3,CATO6,4.68,28.07,8.5,,19.57,0.84,8/10/2022,12:32:07,33.1,32.9,33,33,33.1,"2 (2 to 5), 2.1 (2 to 3)",y,,,
60282A,2,CATO6,4.66,24.18,9.89,,14.29,0.73,8/10/2022,12:36:30,32.8,32.6,32.8,32.9,33,"2 (2 to 5), 2.1 (2 to 3)",y,,,
60227A,2,LITU,4.7,13.68,8.6,,5.08,0.57,8/10/2022,12:40:46,32.2,32.4,32.8,33,33.1,7.6,y,,,
60227A,3,LITU,4.66,36.93,12.72,4.69,28.9,0.9,8/10/2022,12:45:10,32.7,32.4,32.4,32.6,32.7,7.6,y,,,
60223A,3,LIST2,4.65,21.79,8.94,,12.85,0.75,8/10/2022,12:49:35,32.5,32.6,32.8,33,33.3,1.5,,,,
60223A,2,LIST2,4.65,19.39,14.65,,4.74,0.32,8/10/2022,12:57:40,34.3,34.2,34.3,34.4,34.6,1.5,,,,
60470A,3,LITU,4.67,24.48,7.61,,16.87,0.85,8/10/2022,13:02:10,33.6,33.4,33.7,33.8,33.9,1.9,y,,,
60470A,2,LITU,4.67,15.42,11.67,,3.75,0.35,8/10/2022,13:07:00,33.4,34.3,34.6,34.8,35,1.9,y,,,
60813A,3,COFL2,4.7,30.37,12.03,,18.34,0.71,8/10/2022,13:20:00,33.2,33.2,33.5,33.7,33.9,,,,,
60622A,2,COFL2,4.69,28.16,13.95,,14.21,0.61,8/10/2022,13:24:55,33,33.7,33.8,33.9,34,,,,,
60617A,3,COFL2,4.7,26.6,9.82,,16.78,0.77,8/10/2022,13:29:30,33.4,33.5,33.7,33.8,34,,,,,
60393A,3,LITU,4.7,31.33,8.97,,22.36,0.84,8/10/2022,13:34:05,32.8,33.3,33.5,33.6,33.7,"1.8 (4 to 3), 3.3 (4 to 2) ",y,,,
60393A,2,LITU,4.69,25.9,15.41,,10.49,0.49,8/10/2022,13:38:35,34.1,34.1,34.2,34.3,34.4,"1.8 (4 to 3), 3.3 (4 to 2) ",y,,,
60393A,4,LITU,4.68,21.32,7.4,,13.92,0.84,8/10/2022,13:43:10,33.4,33.2,33.5,33.6,33.8,"1.8 (4 to 3), 3.3 (4 to 2) ",y,,,
61008A,3,QUERCUS,4.69,24.53,8.51,,16.02,0.81,8/10/2022,13:47:45,32.9,33.4,33.5,33.5,33.6,3.8,y,,,
61008A,4,QUERCUS,4.69,28.51,8.95,,19.56,0.82,8/10/2022,13:52:10,33,33.5,33.7,33.9,34,3.8,y,,,
30424A,2,QUERCUS,4.65,37.46,21.9,,15.56,0.47,8/11/2022,10:56:15,27.9,27.8,27.9,28.1,28.2,3.7,,n,,
30424A,3,QUERCUS,4.63,24.76,7.27,,17.49,0.87,8/11/2022,11:00:40,28.1,28.3,28.4,28.5,28.6,3.7,,n,,
30624A,4,LIST2,4.66,29.05,11.46,4.64,22.23,0.91,8/11/2022,11:05:10,28.5,28.6,28.8,28.9,29.1,,,,,
30618A,3,LITU,4.65,30.47,7.94,,22.53,0.87,8/11/2022,11:09:35,28.8,29.2,29.3,29.4,29.6,6,,,,
30618A,2,LITU,4.63,28.22,12.25,4.66,20.63,0.87,8/11/2022,11:14:00,28.8,28.6,28.7,28.8,29,6,,,,
20500B,1,LIST2,4.66,28.35,13.81,,14.54,0.61,8/11/2022,11:18:25,28.7,28.8,29,29.1,29.1,,,,,
30438A,3,LIST2,4.67,18.02,8.36,,9.66,0.72,8/11/2022,11:22:55,29.1,29.3,29.6,29.8,30,,,n,,
20587A,3,LIST2,4.68,15.33,10.38,,4.95,0.46,8/11/2022,11:27:25,29.7,29.9,30,30.3,30.5,,,,,
20488A,3,COFL2,4.64,27.75,8.86,,18.89,0.82,8/11/2022,11:31:50,29.5,29.3,29.5,29.8,29.8,"2.4 (2 to 3), 2.9 (2 to 4)",y,,,
20488A,4,COFL2,4.62,23.55,8.23,,15.32,0.81,8/11/2022,11:36:12,29.5,29.6,29.8,29.9,30,"2.4 (2 to 3), 2.9 (2 to 4)",y,,,
20488A,2,COFL2,4.66,31.43,18.58,4.66,17.51,0.65,8/11/2022,11:40:34,29.8,29.8,29.8,29.8,29.9,"2.4 (2 to 3), 2.9 (2 to 4)",y,,,
20887A,4,CATO6,4.66,30.4,8.57,,21.83,0.85,8/11/2022,11:45:00,29.5,29.4,29.5,29.7,29.8,4.4,,,,
20887A,5,CATO6,4.61,34.95,21.21,,13.74,0.45,8/11/2022,11:49:30,29.6,29.5,29.6,29.7,29.8,4.4,,,,
20151A,3,CATO6,4.66,33.9,14.77,,19.13,0.65,8/11/2022,11:53:50,29.5,29.6,29.6,29.5,29.6,,,,,
21253A,5,CATO6,4.66,20.24,7.47,,12.77,0.82,8/11/2022,11:58:25,29.4,29.3,29.4,29.5,29.6,,,,,
20354B,5,QUERCUS,4.67,20.41,8.07,,12.34,0.78,8/11/2022,12:02:45,29.4,29.7,29.8,29.8,29.8,,y,,,
21541B,5,QUERCUS,4.68,29.1,9.62,,19.48,0.8,8/11/2022,12:07:10,29.6,29.8,29.9,30,30,5.3,,,,
21541B,2,QUERCUS,4.67,27.6,20.69,,6.91,0.3,8/11/2022,12:11:30,29.7,29.7,29.8,29.8,29.9,5.3,,,y,
21541A,4,QUERCUS,4.68,28.2,10.01,,18.19,0.77,8/11/2022,12:15:50,29.6,29.6,29.7,29.7,29.8,4.2,y,,,
21541A,5,QUERCUS,4.68,28.09,11.66,,16.43,0.7,8/11/2022,12:20:10,29.4,29.1,29.3,29.5,29.6,4.2,y,,,
20260A,2,COFL2,4.65,20.61,13.59,,7.02,0.44,8/11/2022,12:24:35,29.5,29.5,29.7,29.7,29.7,"1.3 (3 to 2), 2.5 (3 to 5)",,n,,
20260A,5,COFL2,4.68,29.84,11.71,,18.13,0.72,8/11/2022,12:29:00,29.3,29.1,29.2,29.4,29.4,"1.3 (3 to 2), 2.5 (3 to 5)",,,,
20260A,3,COFL2,4.66,28.47,11.98,,16.49,0.69,8/11/2022,12:33:20,29.4,29.5,29.5,29.6,29.6,"1.3 (3 to 2), 2.5 (3 to 5)",,,,
